city_id,city_name,country,latitude,longitude,display_name,data_source,collected_at
city_mont_saint_michel,Mont Saint Michel,France,48.6359541,-1.51146,"Mont Saint-Michel, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",Nominatim,2026-04-02T07:33:49.040029+00:00
city_saint_malo,Saint-Malo,France,48.649518,-2.0260409,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France",Nominatim,2026-04-02T07:33:50.642018+00:00
city_bayeux,Bayeux,France,49.2764624,-0.7024738,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France",Nominatim,2026-04-02T07:33:52.693166+00:00
city_le_havre,Le Havre,France,49.4938975,0.1079732,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France",Nominatim,2026-04-02T07:33:54.116562+00:00
city_rouen,Rouen,France,49.4404591,1.0939658,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",Nominatim,2026-04-02T07:33:55.702524+00:00
city_paris,Paris,France,48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",Nominatim,2026-04-02T07:33:57.564923+00:00
city_amiens,Amiens,France,49.8941708,2.2956951,"Amiens, Somme, Hauts-de-France, France métropolitaine, France",Nominatim,2026-04-02T07:33:58.972736+00:00
city_lille,Lille,France,50.6365654,3.0635282,"Lille, Nord, Hauts-de-France, France métropolitaine, France",Nominatim,2026-04-02T07:34:00.545620+00:00
city_strasbourg,Strasbourg,France,48.584614,7.7507127,"Strasbourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, France",Nominatim,2026-04-02T07:34:02.033899+00:00
city_château_du_haut_kœnigsbourg,Château du Haut-Kœnigsbourg,France,48.249382,7.3439412,"Château du Haut-Kœnigsbourg, D 159, Schaflager, Orschwiller, Sélestat-Erstein, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 67600, France",Nominatim,2026-04-02T07:34:03.794567+00:00
city_colmar,Colmar,France,48.0777517,7.3579641,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 68000, France",Nominatim,2026-04-02T07:34:05.250751+00:00
city_eguisheim,Eguisheim,France,48.0447968,7.3079618,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France",Nominatim,2026-04-02T07:34:06.489941+00:00
city_besancon,Besancon,France,47.2380222,6.0243622,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",Nominatim,2026-04-02T07:34:07.998507+00:00
city_dijon,Dijon,France,47.3215806,5.0414701,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",Nominatim,2026-04-02T07:34:09.486232+00:00
city_annecy,Annecy,France,45.8992348,6.1288847,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",Nominatim,2026-04-02T07:34:10.937984+00:00
city_grenoble,Grenoble,France,45.1875602,5.7357819,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",Nominatim,2026-04-02T07:34:12.461967+00:00
city_lyon,Lyon,France,45.7578137,4.8320114,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",Nominatim,2026-04-02T07:34:14.079171+00:00
city_gorges_du_verdon,Gorges du Verdon,France,43.7496562,6.3285616,"Gorges du Verdon, Route de la Maline, La Palud-sur-Verdon, Castellane, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04120, France",Nominatim,2026-04-02T07:34:15.356479+00:00
city_bormes_les_mimosas,Bormes-les-Mimosas,France,43.1506968,6.3419285,"Bormes-les-Mimosas, Arrondissement de Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83230, France",Nominatim,2026-04-02T07:34:16.631650+00:00
city_cassis,Cassis,France,43.2140359,5.5396318,"Cassis, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13260, France",Nominatim,2026-04-02T07:34:17.888682+00:00
city_marseille,Marseille,France,43.2961743,5.3699525,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",Nominatim,2026-04-02T07:34:19.254878+00:00
city_aix_en_provence,Aix-en-Provence,France,43.5298424,5.4474738,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",Nominatim,2026-04-02T07:34:21.200925+00:00
city_avignon,Avignon,France,43.9492493,4.8059012,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France",Nominatim,2026-04-02T07:34:22.751194+00:00
city_uzes,Uzes,France,44.0121279,4.4196718,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France",Nominatim,2026-04-02T07:34:24.021716+00:00
city_nimes,Nimes,France,43.8374249,4.3600687,"Nîmes, Gard, Occitanie, France métropolitaine, France",Nominatim,2026-04-02T07:34:25.422816+00:00
city_aigues_mortes,Aigues-Mortes,France,43.5661521,4.19154,"Aigues-Mortes, Nîmes, Gard, Occitanie, France métropolitaine, 30220, France",Nominatim,2026-04-02T07:34:26.690624+00:00
city_saintes_maries_de_la_mer,Saintes-Maries-de-la-Mer,France,43.4515922,4.4277202,"Saintes-Maries-de-la-Mer, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13460, France",Nominatim,2026-04-02T07:34:28.440486+00:00
city_collioure,Collioure,France,42.52505,3.0831554,"Collioure, Céret, Pyrénées-Orientales, Occitanie, France métropolitaine, 66190, France",Nominatim,2026-04-02T07:34:29.724231+00:00
city_carcassonne,Carcassonne,France,43.2130358,2.3491069,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France",Nominatim,2026-04-02T07:34:31.185119+00:00
city_ariege,Ariege,France,42.9455368,1.4065544,"Ariège, Occitanie, France métropolitaine, France",Nominatim,2026-04-02T07:34:33.236773+00:00
city_toulouse,Toulouse,France,43.6044638,1.4442433,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",Nominatim,2026-04-02T07:34:34.844208+00:00
city_montauban,Montauban,France,44.0175835,1.3549991,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France",Nominatim,2026-04-02T07:34:36.331963+00:00
city_biarritz,Biarritz,France,43.4832523,-1.5592776,"Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France",Nominatim,2026-04-02T07:34:38.090325+00:00
city_bayonne,Bayonne,France,43.4945144,-1.4736657,"Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France",Nominatim,2026-04-02T07:34:39.537942+00:00
city_la_rochelle,La Rochelle,France,46.159732,-1.1515951,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France",Nominatim,2026-04-02T07:34:41.034580+00:00
